key_1,AC No,PS No,Point,Longitude,Latitide,key
1_1 ,1,1,1 - Pashchim Simna Tahashil Office,91.39353642,24.09186103,1_1 
1_10 ,1,10,10 - Chandichara S.B. School,91.43368029,24.05747006,1_10 
1_11 ,1,11,11 - Sharat Chaudhuri Para S.B.School,91.42398764,24.07342712,1_11 
1_12 ,1,12,12 - Katalamara High School(Purbangsha),91.39572608,24.07102524,1_12 
1_13 ,1,13,13 - Katalamara High School(West Wing),91.39546479,24.0713212,1_13 
1_14 ,1,14,14 - Bairagipara J. B. School(Uttarangsha),91.404267,24.0632361,1_14 
1_15 ,1,15,15 - Bairagipara J. B. School(Dakshinangsha),91.40423531,24.06331813,1_15 
1_16 ,1,16,16 - Ishanpur Dwadash Shreni Vidyalaya(Pashchimangsha),91.40627203,24.0558365,1_16 
1_17 ,1,17,17 - Ishanpur Dwadash Shreni Vidyalaya(Purbangsha),91.4064088,24.05538726,1_17 
1_18 ,1,18,18 - Sonaram ADC Village Office,91.42383786,24.05028939,1_18 
1_19 ,1,19,19 - 22-Card J.B School,91.40248478,24.0494339,1_19 
1_2 ,1,2,2 - Simna High School,91.41564892,24.03191465,1_2 
1_20 ,1,20,20 - Ishanpur Samaj Shikshakendra,91.40244516,24.04942167,1_20 
1_21 ,1,21,21 - Narendrapur T.E.S. B.School(Pashchimangsha),91.40493325,24.02602914,1_21 
1_22 ,1,22,22 - Narendrapur T.E.S. B.School(Purbangsha),91.40486852,24.02604516,1_22 
1_23 ,1,23,23 - Manatala High School,91.42629563,24.01118501,1_23 
1_24 ,1,24,24 - Sachiyabari J.B.School,91.43744348,24.01597936,1_24 
1_25 ,1,25,25 - Subalasingpara S.B.School,91.44925052,24.09376457,1_25 
1_27 ,1,27,27 - Shankhala S.B. School(Dakshinangsha),91.4292184,24.04916917,1_27 
1_29 ,1,29,29 - Shankhala S.B.School(Uttarangsha),91.42920701,24.04913162,1_29 
1_3 ,1,3,3 - Brahmakunda GP Office,91.4183725,23.94179671,1_3 
1_30 ,1,30,30 - Bar Pukur S.B.School,91.45270239,24.00691956,1_30 
1_31 ,1,31,31 - Surendranagar H.S.School(Purbangsha),91.43418939,23.99978497,1_31 
1_32 ,1,32,32 - Surendranagar H. S.School(Pashchimangsha),91.43426445,23.9997799,1_32 
1_33 ,1,33,33 - Surendranagar  ADC Village Office,91.42925678,23.9940667,1_33 
1_34 ,1,34,34 - Kambukachhara S.B.School,91.45329432,23.99068762,1_34 
1_35 ,1,35,35 - Dumarakaridak ADC Village Office,91.46522526,23.96336391,1_35 
1_36 ,1,36,36 - Radhanagar High School,91.4595062,23.9604985,1_36 
1_37 ,1,37,37 - Ramdayal S.B. School,91.4439657,23.9582436,1_37 
1_38 ,1,38,38 - Tamakari High School,91.4386311,23.9474672,1_38 
1_39 ,1,39,39 - Dugarai Mayavati S.B.School,91.427868,23.9500743,1_39 
1_4 ,1,4,4 - Brahmakunda Guest House,91.39475326,24.07945704,1_4 
1_40 ,1,40,40 - Barakanthal H.S.School(Purbangsha),91.41814191,23.94181092,1_40 
1_41 ,1,41,41 - Barakanthal H.S.School(Pashchimangsha),91.4183725,23.94179671,1_41 
1_42 ,1,42,42 - Kainta Kobra Para S. B. School,91.42619345,23.90692431,1_42 
1_43 ,1,43,43 - Joychandra Para J. B. School,91.43891539,23.90547429,1_43 
1_44 ,1,44,44 - Chakma Para S.B. School,91.44122793,23.92309569,1_44 
1_45 ,1,45,45 - Kutanabari S.B.School,91.44406856,23.9318077,1_45 
1_46 ,1,46,46 - Chandpur H.S. School(Uttarangsha),91.459633,23.9305478,1_46 
1_47 ,1,47,47 - Chandpur H.S. School(Dakshinangsha),91.459547,23.9307334,1_47 
1_48 ,1,48,48 - Subal Gar S.B.School,91.46670584,23.93250972,1_48 
1_49 ,1,49,49 - Sonai J. B. School,91.47588612,23.92831826,1_49 
1_5 ,1,5,5 - Katachara S.B.School,91.41752494,24.08882303,1_5 
1_50 ,1,50,50 - Gaj Para S.B.School,91.40486852,24.02604516,1_50 
1_6 ,1,6,6 - Simna chara S.B.School,91.41070428,24.10098175,1_6 
1_7 ,1,7,7 - East Simna ADC Village Office,91.44851444,24.08296911,1_7 
1_9 ,1,9,9 - Matiyapara S.B. School,91.43900124,24.06858809,1_9 
10_1 ,10,1,1 - Ranir Bazar Bidyamandir H.S. School( Madhyangsha),91.36440174,23.83758478,10_1 
10_10 ,10,10,10 - Apanjan I.C.D.S.Centre,91.37361563,23.83071021,10_10 
10_11 ,10,11,11 - SHG Training Centre;Ranirbazar Municipal Council;Ranirbazar,91.36558022,23.83364272,10_11 
10_12 ,10,12,12 - Sukanta Colony J.B. School (E/W) ;Ranirbazar,91.36543212,23.83376582,10_12 
10_13 ,10,13,13 - Sukanta Colony J.B. School (W/W) ;Ranirbazar,91.36542805,23.8338217,10_13 
10_14 ,10,14,14 - Purba Assam Para I.C.D.S.Kendra,91.37162337,23.82202065,10_14 
10_15 ,10,15,15 - Sukanta Academy English Medium H.S. School(Pashchimangsha),91.37467297,23.82634775,10_15 
10_16 ,10,16,16 - Sukanta Academy English Medium H.S. School(Dakshin Pashchimangsha),91.37467297,23.82634775,10_16 
10_17 ,10,17,17 - Sukanta Academy English Medium H.S. School(Purba Pashchimangsha),91.37490924,23.82652347,10_17 
10_18 ,10,18,18 - Majlishpur Tahashil Office,91.39491169,23.82000072,10_18 
10_19 ,10,19,19 - Majlishpur Gram Panchayet Office,91.39513855,23.82014255,10_19 
10_2 ,10,2,2 - Ranir Bazar Bidyamandir H.S. School (Uttarangsha),91.36464775,23.83750599,10_2 
10_20 ,10,20,20 - Bhagaban Kobra Para S.B. School,91.40635624,23.83549877,10_20 
10_21 ,10,21,21 - Makumai Kami High School(Uttarangsha),91.40291136,23.82630432,10_21 
10_22 ,10,22,22 - Makumai Kami High School (Dakshin Madhyangsha),91.40291136,23.82630432,10_22 
10_23 ,10,23,23 - Makumai Kami High School (Purba Madhyaangsh),91.40291136,23.82630432,10_23 
10_24 ,10,24,24 - Ranirgaon H.S.School(Uttarangsha),91.39581241,23.82028224,10_24 
10_25 ,10,25,25 - Ranirgaon H.S.School; Mohanpur (Pashchimangsha),91.39581241,23.82028224,10_25 
10_26 ,10,26,26 - Ranirgaon H.S.School; Mohanpur ( Dakshinangsha),91.39581241,23.82028224,10_26 
10_27 ,10,27,27 - Gurukul I.C.D.S.Centre,91.39691338,23.82010693,10_27 
10_29 ,10,29,29 - T.E.College High School(Pashchimangsha),91.42668131,23.84569273,10_29 
10_3 ,10,3,3 - Ranir Bazar Bidyamandir H.S. School(Dakshinangsha),91.36458322,23.83756441,10_3 
10_30 ,10,30,30 - T.E.College High School(Purbangsha),91.42668131,23.84569273,10_30 
10_31 ,10,31,31 - Pashchim Barjalai S.B.School (Uttarangsha),91.42654214,23.83519127,10_31 
10_32 ,10,32,32 - Pashchim Barjalai S.B.School (Dakshinangsha),91.42654214,23.83519127,10_32 
10_33 ,10,33,33 - Barjala Binapani H.S. School (Dakshinangsha),91.42580965,23.82605969,10_33 
10_34 ,10,34,34 - Barjala Binapani H.S. School (Pashchimangsha),91.42573657,23.82601201,10_34 
10_35 ,10,35,35 - Bankimnagar S.B. School(Pashchimangsha),91.43710156,23.82827393,10_35 
10_36 ,10,36,36 - Bankimnagar S.B. School(Madhyangsha),91.43719161,23.82811508,10_36 
10_37 ,10,37,37 - Bankimnagar S.B. School(Purbangsha),91.43720102,23.82821464,10_37 
10_38 ,10,38,38 - Jirania Nagar Panchayet Office(Purbangsha),91.43791977,23.82508658,10_38 
10_39 ,10,39,39 - Jirania Nagar Panchayet Office(Pashchimangsha),91.43763582,23.824971,10_39 
10_4 ,10,4,4 - Durganagar J.B.School(Sarbashiksha Abhijan),91.3709943,23.83741516,10_4 
10_40 ,10,40,40 - Kalachand Kobra Para I.C.D.S. Kendra,91.4311455,23.82082301,10_40 
10_41 ,10,41,41 - Chaudhuri Bari Girls H. S. School(Pashchimangsha),91.43836172,23.8199372,10_41 
10_42 ,10,42,42 - Chaudhuri Bari Girls H. S. School(Purbangsha),91.43801715,23.81995992,10_42 
10_43 ,10,43,43 - Birendranagar H.S.School (Pashchimangsha),91.44170943,23.8197725,10_43 
10_44 ,10,44,44 - Birendranagar H.S.School (Purbangsha),91.44461874,23.8198854,10_44 
10_45 ,10,45,45 - Bishrambari S.B.School,91.45103626,23.85224573,10_45 
10_46 ,10,46,46 - Sachindra Nagar Colony Bazar High School,91.45974401,23.84228988,10_46 
10_47 ,10,47,47 - Sanhati Bidyamandir H.S.School (Madhyangsha),91.4514137,23.83318553,10_47 
10_48 ,10,48,48 - Sanhati Bidyamandir H.S.School(Pashchimangsha),91.45129416,23.83317054,10_48 
10_49 ,10,49,49 - Nagrai Bari S.B.School (Dakshinangsha),91.46052927,23.83204261,10_49 
10_5 ,10,5,5 - Krishnanagar Tarun S.B.School(Uttarangsha),91.38180366,23.83795488,10_5 
10_50 ,10,50,50 - Nagrai Bari S.B.School (Pashchimangsha),91.46050692,23.83019674,10_50 
10_51 ,10,51,51 - Nagrai Bari S.B.School (Uttarangsha),91.46044688,23.83196642,10_51 
10_52 ,10,52,52 - Nuabadi Bazar I.C.D.S. Centre,91.47076579,23.83302119,10_52 
10_53 ,10,53,53 - Pranab Bidyabhaban S.B. School(Dakshinangsha),91.48603023,23.84933,10_53 
10_54 ,10,54,54 - Pranab Bidyabhaban S.B. School(Purbangsha),91.48594342,23.84930321,10_54 
10_55 ,10,55,55 - Joynagar S.B.School ( Dakshinangsha),91.47171384,23.82788099,10_55 
10_56 ,10,56,56 - Joynagar S.B.School (Pashchimangsha),91.47171384,23.82780992,10_56 
10_57 ,10,57,57 - Dakshin Joynagar High School (Pashchimangsha),91.45685561,23.82239495,10_57 
10_58 ,10,58,58 - Dakshin Joynagar High School(Uttarangsha),91.45702427,23.822588,10_58 
10_6 ,10,6,6 - Krishnanagar Tarun S.B.School(Pashchimangsha),91.38180181,23.8379708,10_6 
10_7 ,10,7,7 - Uttar Majlishpur Gram Panchayat Office,91.390556,23.833889,10_7 
10_8 ,10,8,8 - Brajanagar Samaj Shiksha Kendra,91.38922678,23.83405699,10_8 
10_9 ,10,9,9 - Brahma Tilla J.B.School,91.4,23.826667,10_9 
11_1 ,11,1,1 - Chantaibari HS School(Pashchimangsha),91.393116,23.89202148,11_1 
11_10 ,11,10,10 - Durganagar High School (Uttar Madhyangsha),91.37192277,23.8464007,11_10 
11_11 ,11,11,11 - Kaitaraibari J.B. School,91.37182486,23.84651774,11_11 
11_12 ,11,12,12 - Durganagar High School(Uttar Pashchimangsha),91.37195628,23.8464951,11_12 
11_13 ,11,13,13 - Purba Noabadi High School (Pashchimangsha),91.376937,23.86056251,11_13 
11_14 ,11,14,14 - Kobra Khamar H.S. School,91.3988655,23.84808551,11_14 
11_15 ,11,15,15 - Binan Kobrapara S.B. School (Uttarangsha),91.4134607,23.88757498,11_15 
11_16 ,11,16,16 - Shibnagar Borakha H.S. School,91.43922888,23.88388414,11_16 
11_17 ,11,17,17 - Binan Kobra Para S.B. School (Dakshinangsha),91.41358726,23.88740772,11_17 
11_19 ,11,19,19 - Bhadramisip Para High School (Uttarangsha),91.40868929,23.8553318,11_19 
11_2 ,11,2,2 - Chantaibari HS School(Purbangsha),91.39403647,23.89245271,11_2 
11_20 ,11,20,20 - Bhadramisip Para High School (Uttar Madhyaangsha),91.40870598,23.85543654,11_20 
11_21 ,11,21,21 - Bhadramisip Para High School (Purbangsha),91.40857722,23.85541022,11_21 
11_22 ,11,22,22 - Bhubanchantai Bari J.B.School,91.43455209,23.86696537,11_22 
11_23 ,11,23,23 - Chaitramohan Pada J.B.School,91.4463371,23.85716541,11_23 
11_24 ,11,24,24 - Chameliya High School(Pashchimangsha),91.46031925,23.91589142,11_24 
11_25 ,11,25,25 - Chameliya High School (Purbangsha),91.46038672,23.9159476,11_25 
11_26 ,11,26,26 - Jiban Sardar Para S.B.School(Pashchimangsha),91.45658344,23.87515141,11_26 
11_27 ,11,27,27 - Jiban Sardar Para S.B.School(Purbangsha),91.45647864,23.87521722,11_27 
11_28 ,11,28,28 - Tui Pathar S.B.School(Pashchimangsha),91.49102731,23.88920761,11_28 
11_29 ,11,29,29 - Tui Pathar S.B.School(Purbangsha),91.49074056,23.88912563,11_29 
11_3 ,11,3,3 - Pashchim Maheshapur S.B. School,91.39931619,23.8679865,11_3 
11_31 ,11,31,31 - Khengrai Village Committee Office,91.49560144,23.90477893,11_31 
11_32 ,11,32,32 - Shantaram Para S.B.School,91.55694281,23.88809816,11_32 
11_35 ,11,35,35 - Mandai Tehsil Office,91.47811903,23.85986457,11_35 
11_36 ,11,36,36 - Abhiram Mukumu S.B. School(N/W),91.48115825,23.85902438,11_36 
11_37 ,11,37,37 - Abhiram Mukumu S.B. School(N/W),91.55694281,23.87477893,11_37 
11_38 ,11,38,38 - Manikung Para S.B. School,91.50826875,23.87323599,11_38 
11_4 ,11,4,4 - Purba Noabadi High School (Uttar Purbangsha),91.37680964,23.8605996,11_4 
11_40 ,11,40,40 - New Mandai Girls High School(Purbangsha),91.48140046,23.85904631,11_40 
11_41 ,11,41,41 - Kairai S.B. School,91.48102823,23.85910806,11_41 
11_42 ,11,42,42 - Mandai Bazar Gram Village Committee Office,91.47973372,23.85991841,11_42 
11_43 ,11,43,43 - Bidyachandra Para High School,91.42795485,23.80390038,11_43 
11_44 ,11,44,44 - Harinath Sardar Para Girls S.B. School,91.44404803,23.81225602,11_44 
11_45 ,11,45,45 - Ananda Thakur Para J.B. School,91.44874755,23.80870305,11_45 
11_47 ,11,47,47 - Jirania Khala H.S. School,91.44841722,23.80873638,11_47 
11_48 ,11,48,48 - Kalikrishna Para Model J.B. School,91.45803787,23.81308372,11_48 
11_49 ,11,49,49 - Gurucharan High School,91.47031503,23.80827188,11_49 
11_5 ,11,5,5 - Kalinagar High School (Purbangsha),91.36097738,23.85751541,11_5 
11_50 ,11,50,50 - Khamar Bari High School (W/W),91.74941918,23.81032972,11_50 
11_51 ,11,51,51 - Rabiyasardar Para J.B. School,91.48588261,23.84290591,11_51 
11_52 ,11,52,52 - Khamar Bari High School (N/W),91.47985686,23.81052692,11_52 
11_53 ,11,53,53 - Padma Mohan Para High School (W/W),91.48584727,23.81569393,11_53 
11_55 ,11,55,55 - Padmamohanpara High School(Dakshin Purbangsha),91.4860553,23.81533945,11_55 
11_56 ,11,56,56 - Champaknagar H.S. School(Dakshinangsha),91.4932951,23.40622144,11_56 
11_57 ,11,57,57 - Champaknagar H.S. School(Pashchimangsha),91.49695247,23.80120283,11_57 
11_58 ,11,58,58 - Champaknagar H.S. School(Uttarangsha),91.49720515,23.8061708,11_58 
11_59 ,11,59,59 - Bhrigudas Bari High School(S/W),91.50540906,23.83398401,11_59 
11_6 ,11,6,6 - Kalinagar High School(Pashchimangsha),91.36097651,23.85755204,11_6 
11_60 ,11,60,60 - Bhrigudas Bari High School(N/W),91.50540906,23.83398401,11_60 
11_61 ,11,61,61 - Amarjyoti Bari High School,91.56340027,23.80944776,11_61 
11_7 ,11,7,7 - Rajib Gandhi High School(Purbangsha),91.34724514,23.86439862,11_7 
11_8 ,11,8,8 - Rajib Gandhi High School(Uttarangsha),91.34707437,23.86411164,11_8 
11_9 ,11,9,9 - Durganagar High School(North-South Wing),91.375556,23.845833,11_9 
12_1 ,12,1,1 - Debsing Thakur Para S.B. School(North Wing),91.4227538,23.7918982,12_1 
12_10 ,12,10,10 - Dinabandhu Para J.B.School,91.4538681,23.7622461,12_10 
12_11 ,12,11,11 - Bishuchandra Para  High School(North Wing),91.47520298,23.7765772,12_11 
12_12 ,12,12,12 - Belabari High School,91.4693603,23.7905813,12_12 
12_13 ,12,13,13 - Bishuchandra Para High School(South Wing),91.4749968,23.7764378,12_13 
12_14 ,12,14,14 - Gandhi S.B.School,91.4721977,23.7522573,12_14 
12_15 ,12,15,15 - Balaram Thakurpara S.B.School(West Wing),91.5025681,23.7986643,12_15 
12_16 ,12,16,16 - Balaram Thakurpara S.B.School(East Wing),91.5027182,23.798681,12_16 
12_17 ,12,17,17 - Radhacharan Thakur Para J.B. School,91.5026617,23.7987556,12_17 
12_19 ,12,19,19 - Chandrakumar Para S.B.School,91.4855509,23.768186,12_19 
12_2 ,12,2,2 - Debsing Thakur Para S.B School(South Wing),91.422733,23.79184,12_2 
12_20 ,12,20,20 - Lalitmohan Para J.B.School,91.5007924,23.7646281,12_20 
12_21 ,12,21,21 - Jampui Gobinda Thakur Para High School,91.4786019,23.7221909,12_21 
12_22 ,12,22,22 - Killapara J.B. School,91.50453905,23.723896,12_22 
12_23 ,12,23,23 - Tampui Para J.B. School,91.504429,23.723795,12_23 
12_25 ,12,25,25 - Narayan Khamar S.B.School,91.4508239,23.7285846,12_25 
12_26 ,12,26,26 - Muitolwing J.B.School,91.4455693,23.7110212,12_26 
12_27 ,12,27,27 - North Takarjala High School (West Wing),91.4172494,23.7149562,12_27 
12_29 ,12,29,29 - North Takarjala High School(East Wing),91.4171107,23.7147831,12_29 
12_3 ,12,3,3 - Janmejoy Nagar H.S. School,91.43841897,23.7779433,12_3 
12_30 ,12,30,30 - Pashchim Takarjala Tehsil Office( North Wing),91.4201575,23.7056856,12_30 
12_31 ,12,31,31 - Pashchim Takarjala Tehsil Office( South Wing),91.420357,23.7058333,12_31 
12_32 ,12,32,32 - Madhya Ghaniamara S.B. School(North/ West Wing),91.3963826,23.6847669,12_32 
12_33 ,12,33,33 - Madhya Ghaniamara S.B. School(North/ East Wing),91.3965659,23.684705,12_33 
12_35 ,12,35,35 - Jampuijala Girls High School( North Wing),91.4574331,23.7038301,12_35 
12_36 ,12,36,36 - Jampuijala Girls High School( South Wing),91.4572777,23.7035295,12_36 
12_37 ,12,37,37 - Jampuijala Girls High School( East Wing),91.4572777,23.7035295,12_37 
12_38 ,12,38,38 - Khupilang J.B.School(East Wing),91.416722,23.7221258,12_38 
12_39 ,12,39,39 - Khupilong J.B.School(West Wing),91.486728,23.721964,12_39 
12_4 ,12,4,4 - Kainta Kobra Para J B School,91.4227072,23.7920188,12_4 
12_40 ,12,40,40 - Dulkai J.B.School,91.4851619,23.7058361,12_40 
12_41 ,12,41,41 - Dwarkai Kalai Bari J.B.School,91.495591,23.703784,12_41 
12_42 ,12,42,42 - Dwarkai Cherra High School(North/ East Wing),91.4722465,23.7027333,12_42 
12_43 ,12,43,43 - Dwarkai  Chara High School(North/ West Wing),91.4727412,23.702973,12_43 
12_44 ,12,44,44 - Debcharan Bairagi para S.B.School,91.4413573,23.7009305,12_44 
12_45 ,12,45,45 - Kendrai Chara High School,91.4510938,23.6865849,12_45 
12_46 ,12,46,46 - Arjun Thakurpara High School(East North Wing),91.4298151,23.665633,12_46 
12_47 ,12,47,47 - Arjun Thakur para High School(East South Wing),91.4297547,23.6654955,12_47 
12_48 ,12,48,48 - Drouna Bhagya Para J.B. School,91.4727412,23.6865849,12_48 
12_49 ,12,49,49 - Ujan Pathaliaghat S.B.School,91.43137,23.63104,12_49 
12_5 ,12,5,5 - Ratanpur High.School(North Wing),91.4104751,23.7441818,12_5 
12_50 ,12,50,50 - Malsom Bari S.B.School,91.4407866,23.6393961,12_50 
12_51 ,12,51,51 - Nabachandra Para S.B.School(North Wing),91.4126461,23.6501132,12_51 
12_52 ,12,52,52 - Nabachandra Para S.B.School(South Wing),91.4125554,23.6500106,12_52 
12_6 ,12,6,6 - Ratanpur High School(West Wing),91.4104721,23.7439975,12_6 
12_7 ,12,7,7 - Amrabati S.B.School,91.3881994,23.7385433,12_7 
12_8 ,12,8,8 - Gurupada Colony Tribal S.B.School,91.4381062,23.7592544,12_8 
12_9 ,12,9,9 - Janmejoynagar R.C S.B.School,91.4572925,23.7861452,12_9 
13_1 ,13,1,1 - 30 No. Ward Kabiraj Tilla Anganwadi Kendra,91.27827052,23.81767453,13_1 
13_10 ,13,10,10 - Sukanta Pex Ltd,91.28681752,23.81884553,13_10 
13_11 ,13,11,11 - Pratapgarh Anganwadi Centre,91.28685634,23.81883065,13_11 
13_12 ,13,12,12 - Senior Manager T.S.E.C.L. Office,91.28668502,23.81876553,13_12 
13_13 ,13,13,13 - Agartala Municipal Council Office Ward No-42,91.29029049,23.81324493,13_13 
13_14 ,13,14,14 - 1 No Pratapgarh Hrishi Para Anganwadi Kendra,91.2859787,23.81526547,13_14 
13_15 ,13,15,15 - Pratapgarh High.School(Dakshinangsha),91.28594277,23.84545957,13_15 
13_16 ,13,16,16 - Pratapgarh High.School( Uttar-Purbangsha),91.28560453,23.81553962,13_16 
13_17 ,13,17,17 - Nabinpalli J.B.School( Dakshinangsha),91.28701569,23.80801523,13_17 
13_18 ,13,18,18 - Subhash Nagar Sub Centre,91.29297338,23.80830538,13_18 
13_19 ,13,19,19 - Dharpara Anganwadi Centre(Uttarangsha),91.29302023,23.8082042,13_19 
13_2 ,13,2,2 - Agartala Municipal Corporation Ward Office No.-41 (E/W),91.277059,23.81431184,13_2 
13_20 ,13,20,20 - Nabin Palli J.B.School(Uttarangsha),91.28726685,23.80805318,13_20 
13_21 ,13,21,21 - Benimadhab Bidyapith S.B.School (Dakshinangsha),91.29597978,23.8180157,13_21 
13_22 ,13,22,22 - Majumder Tila Anganwadi Centre,91.29007206,23.81335133,13_22 
13_23 ,13,23,23 - Sadhutila Chandra Mohan Saha Girls High School(Dakshinangsha),91.2950058,23.80922856,13_23 
13_24 ,13,24,24 - Sadhutila Chandra Mohan Saha Girls High School(Uttarangsha),91.29706357,23.80949652,13_24 
13_25 ,13,25,25 - Purbatan Subhasnagar Panchayet Office,91.29301932,23.80763646,13_25 
13_26 ,13,26,26 - Sadhutila Chandramohan Saha Girls High School(Madhyangsha),91.29319502,23.80732646,13_26 
13_27 ,13,27,27 - Gitanjali Community Hall; Amdedkar Colony,91.29714734,23.8093906,13_27 
13_28 ,13,28,28 - Dashrath Deb Anganwadi Centre,91.30695536,23.81535951,13_28 
13_29 ,13,29,29 - Vidyasagar Palli S.B.School(Dakshinangsha),91.30718103,23.81616616,13_29 
13_3 ,13,3,3 - Agartala Municipal Corporation Ward Office No.-41 (W/W),91.2770593,23.8143143,13_3 
13_30 ,13,30,30 - Vidyasagar Palli S.B. School(N/W/W),91.30337078,23.81360299,13_30 
13_31 ,13,31,31 - Vidyasagar Girls H.S. School (Madhyangsha),91.30336699,23.81945049,13_31 
13_32 ,13,32,32 - Benimadhab Vidyapith S.B.School(Uttarangsha),91.29595499,23.8179151,13_32 
13_33 ,13,33,33 - Benimadhab Vidyapith S.B.School( Madhyangsha),91.2960812,23.81794555,13_33 
13_34 ,13,34,34 - Gautam Smriti Shishoo Rakshanagar,91.29305663,23.8192031,13_34 
13_35 ,13,35,35 - Vidyasagar Girls H S School(Uttarangsha),91.30363492,23.819348,13_35 
13_36 ,13,36,36 - Ajit Smriti Anganwadi Centre,91.3024639,23.81972885,13_36 
13_37 ,13,37,37 - Vidhyasagar Girls H S  School(Dakshinangsha),91.30322733,23.81948225,13_37 
13_38 ,13,38,38 - Uttar Jogendranagar J.B.School(Madhyangsha),91.30411113,23.82933923,13_38 
13_39 ,13,39,39 - Jogendranagar P. H. E.Office,91.3037597,23.81929287,13_39 
13_4 ,13,4,4 - Nivedita Vidyapith J.B. School(N/W),91.27794274,23.8141486,13_4 
13_40 ,13,40,40 - Jogendranagar Electric Subdivision Office,91.30503887,23.81894189,13_40 
13_41 ,13,41,41 - Agartala Municipal Council Ward Office No 28(Purbangsha),91.30714022,23.8161451,13_41 
13_42 ,13,42,42 - Kumarpara Anganwadi Centre,91.31189415,23.81335394,13_42 
13_43 ,13,43,43 - Bidrohi Kabi Nazrul Vidya Bhavan(E/W),91.31487088,23.81424893,13_43 
13_44 ,13,44,44 - Bidrohi Kobi Nazrul Vidya Bhavan(W/W),91.31487132,23.81424995,13_44 
13_45 ,13,45,45 - Netaji Subhas Colony S.B.School,91.31970684,23.81219561,13_45 
13_46 ,13,46,46 - Maa Saradamoni Anganwadi Centre,91.30847632,23.81954331,13_46 
13_47 ,13,47,47 - Uttar Jogendranagar J.B. School(Uttarangsha),91.30411041,23.82925422,13_47 
13_48 ,13,48,48 - Uttar Jogendranagar J.B. School(Dakshin Angsha),91.30419103,23.82928988,13_48 
13_49 ,13,49,49 - Rishi Das Colony S.B.School,91.30390685,23.8300822,13_49 
13_5 ,13,5,5 - Nivedita Vidyapith J.B. School(S/W),91.27794208,23.8141487,13_5 
13_50 ,13,50,50 - Purba Aaraliya J.B.School,91.32000454,23.81994726,13_50 
13_51 ,13,51,51 - Purba Jogendranagar High School(Purbangsha),91.31402009,23.82093639,13_51 
13_52 ,13,52,52 - Rishidas Colony A.W.C.,91.30392465,23.8301584,13_52 
13_53 ,13,53,53 - Priyalal Smriti Anganwadi centre(Near BDC Club),91.3091816,23.83123644,13_53 
13_54 ,13,54,54 - Agartala Municipal Corporation Ward Office No.-26,91.30994231,23.83115075,13_54 
13_55 ,13,55,55 - Pashchim Champamura High School,91.32399278,23.82597885,13_55 
13_56 ,13,56,56 - Dr. B.R.Aambedkar Bidyabhaban (Natun Building )(Purbangsha),91.31779483,23.82531888,13_56 
13_57 ,13,57,57 - Purba Jogendranagar High School(Pashchimangsha),91.31383759,23.82074113,13_57 
13_58 ,13,58,58 - Dr. B.R.Aambedkar Bidyabhaban (Natun Building)(Uttarangsha),91.31182924,23.82541677,13_58 
13_59 ,13,59,59 - Dr. B.R.Aambedkar Bidyabhaban (Natun Building)(  Pashchimangsha),91.31184734,23.82521002,13_59 
13_6 ,13,6,6 - Madhya Pratapgarh Adarsha Vidya Niketan J.B. School (Purbangsha),91.28260091,23.8124461,13_6 
13_60 ,13,60,60 - Agartala Municipal Corporation Ward Office No.-29,91.3135582,23.81589527,13_60 
13_61 ,13,61,61 - Agartala Municipal Corporation Ward Office No.-27,91.31894579,23.82220098,13_61 
13_7 ,13,7,7 - Madhya Pratapgarh Adarsha Vidya Niketan School (Pashchimangsha),91.28245504,23.81345757,13_7 
13_8 ,13,8,8 - Pratapgarh High School (Dakshin Pashchimangsha),91.28593781,23.81486097,13_8 
13_9 ,13,9,9 - 2No Pratapgarh Hrishi Para Anganwadi Kendra,91.28540818,23.81538106,13_9 
14_1 ,14,1,1 - Agartala Municipal Corporation Ward Office No.-36(N/W),91.25192521,23.81753579,14_1 
14_10 ,14,10,10 - Kalitila J.B. School(Dakshinangsha),91.2587059,23.82299402,14_10 
14_11 ,14,11,11 - Chaurangi Para; S. B. School(Uttarangsha),91.25731975,23.80542104,14_11 
14_12 ,14,12,12 - Chaurangi Para; S. B. School(Dakshinangsha),91.25746102,23.80566625,14_12 
14_13 ,14,13,13 - Rajya Kitnashak Pariksha Kendra(Datta Tila),91.26568401,23.80449449,14_13 
14_14 ,14,14,14 - Agartala Municipal Corporation Ward Office No.-46(N/W),91.26725239,23.80413323,14_14 
14_15 ,14,15,15 - Agartala Municipal Corporation Ward Office No.-46(S/W),91.26728554,23.80429196,14_15 
14_16 ,14,16,16 - Agriculture Research Cum Demonstration Firm(Purbangsha),91.26770385,23.80945039,14_16 
14_17 ,14,17,17 - Chowrangee Para S.B. School(M/W),91.26403303,23.80861778,14_17 
14_18 ,14,18,18 - Shantanagar Anganwadi Centre,91.26715,23.7993,14_18 
14_19 ,14,19,19 - Netajinagar Anganwadi Centre,91.26373338,23.791191,14_19 
14_2 ,14,2,2 - Gajaria A.R.D.D. Office,91.25208472,23.8173772,14_2 
14_20 ,14,20,20 - Dukli Panchayet Samity Hall,91.26924604,23.79233593,14_20 
14_21 ,14,21,21 - Shachindralal Vidyaniketan High School (Uttarangsha),91.24328092,23.8043015,14_21 
14_22 ,14,22,22 - Charipara H.S.School(Uttarangsha),91.25298165,23.79983616,14_22 
