,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2018 VS,2019 LS,VS'Past (NDA),Unnamed: 20,Unnamed: 21,VS'Past (UPA),"VS'Past 
(Left Front)",Unnamed: 24,Unnamed: 25,Unnamed: 26,VS'Past,VS Margin,Unnamed: 29,VS Margin Votes,LS'Past (NDA),LS'Past (UPA),LS'Past,LS'Past.1,LS Margin,LS Margin Votes,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,AC No,booth 2022,Mapped ps 2019,Mapped ps 2018,booth_address_hindi,booth_address_local language,booth_address_english,locality,new_locality,No. of electors,Age Pop (18-23),Age Pop (24-35),Age Pop (36-50),Age Pop (51-60),Age Pop (60+),Gender (Male),Gender (Female),Last VS Total Votes,Last LS Total Votes,NDA,BJP,IPFT,INC,CPI(M),CPI,AIFB,RSP,Others,BJP Margin,NDA Margin,BJP Margin Votes,BJP,INC,CPI(M),Others,BJP Margin,BJP Margin Votes,Mandal,key,,,,,booth 2022,
1,1,1,1,1,"सुन्दर टिला, पश्चिम सिमना, सुन्दर टिला-799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 সুন্দর টিলা, পশ্চিম সিমনা, সুন্দর টিলা-799212
 4 7 জাহান সং১াচা",1-Paschim Simna Tahashil Office,पश्चिम सिमना,पश्चिम सिमना,1023,0.35288367546432065,0.18084066471163246,0.12903225806451613,,,0.5268817204301075,0.4731182795698925,917,747,0.34240000000000004,0,0.34240000000000004,0.0196,0.5878,0,0,0,0.050199999999999995,-0.5878,-0.24539999999999995,-539.0126,0.5556,0.2851,0.0977,0.0616,0.27049999999999996,202.06349999999998,1_M_1,1_1,,,,,1,M_1
2,1,2,2,2,"सुन्दर टिला, पश्चिम सिमना, सुन्दर टिला-799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 সুন্দর টিলা, পশ্চিম সিমনা, সুন্দর টিলা-799212
 4 7 জাহান সং১াচা",2-Simna High School,पश्चिम सिमना,पश्चिम सिमना,572,0.42832167832167833,0.13636363636363635,0.11188811188811189,,,0.45104895104895104,0.548951048951049,482,476,0.30079999999999996,0,0.30079999999999996,0.0207,0.6286,0,0,0,0.049800000000000004,-0.6286,-0.3278000000000001,-302.9852,0.3319,0.20800000000000002,0.27940000000000004,0.1807,0.052499999999999936,24.98999999999997,1_M_1,1_2,,,,,2,M_1
3,1,3,3,3,"वन्मकुन्ड, पश्चिम सिमना, सिमना-799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 বন্মকুন্ড, পশ্চিম সিমনা, সিমনা-799212
 4 7 জাহান সং১াচা",3-Brahmakunda GP Office,पश्चिम सिमना,पश्चिम सिमना,761,0.30749014454664914,0.1616294349540079,0.15111695137976347,,,0.48620236530880423,0.5137976346911958,680,645,0.2676,0,0.2676,0.025,0.6456000000000001,0,0,0,0.061799999999999994,-0.6456000000000001,-0.37800000000000006,-439.00800000000004,0.3209,0.29460000000000003,0.2775,0.107,0.02629999999999999,16.963499999999993,1_M_1,1_3,,,,,3,M_1
4,1,4,4,4,"वन्मकुन्ड, पश्चिम सिमना, सिमना-799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 বন্মকুন্ড, পশ্চিম সিমনা, সিমনা-799212
 4 7 জাহান সং১াচা",4-Brahmakunda Guest House,पश्चिम सिमना,पश्चिम सिमना,672,0.31101190476190477,0.17857142857142858,0.0744047619047619,,,0.5238095238095238,0.47619047619047616,563,569,0.29309999999999997,0,0.29309999999999997,0.024900000000000002,0.5169,0,0,0,0.16519999999999999,-0.5169,-0.22380000000000005,-291.0147,0.3322,0.1757,0.2021,0.29,0.042200000000000015,24.011800000000008,1_M_1,1_4,,,,,4,M_1
5,1,5,5,5,3.भोट ग्रहन केन्द्रेर विस्तृत विवरन,"3.ভোট গ্রহন কেন্দ্রের বিস্তৃত বিবরন
 ভোট গ্রহন কেন্দ্রের নম্বর ও নামঃ
 5-কাটাছড়া এস.বি.স্কুল",5-Katachara S.B.School,पश्चिम सिमना,पश्चिम सिमना,807,0.32961586121437425,0.1697645600991326,0.13382899628252787,,,0.4770755885997522,0.5229244114002478,694,605,0.5058,0,0.5058,0.0115,0.4395,0,0,0,0.0432,-0.4395,0.06630000000000003,-305.013,0.059500000000000004,0.3025,0.12890000000000001,0.5091,-0.4496,-272.008,1_M_1,1_5,,,,,5,M_1
6,1,6,6,6,"सिमना वाजार, पश्चिम सिमना, सिमना कलोनी-799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 সিমনা বাজার, পশ্চিম সিমনা, সিমনা কলোনী-799212
 4 7 জাহান সং১াচা",6-Simna Chara S.B.School,पश्चिम सिमना,पश्चिम सिमना,828,0.3671497584541063,0.14371980676328502,0.09541062801932366,,,0.5084541062801933,0.4915458937198068,733,733,0.2633,0,0.2633,0.0273,0.6670999999999999,0,0,0,0.042300000000000004,-0.6670999999999999,-0.40379999999999994,-488.98429999999996,0.4079,0.3042,0.2237,0.0641,0.10369999999999996,76.01209999999998,1_M_1,1_6,,,,,6,M_1
7,1,7,7,7,"दागिय়ावाड়ी, पूर्व सिमना, दारोगामुड়ा -799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 দাগিয়াবাড়ী, পূর্ব সিমনা, দারোগামুড়া -799212
 4 7 জাহান সং১াচা",7-Purba Simna ADC Village Office,पूर्व सिमना,पूर्व सिमना,739,0.3152909336941813,0.12449255751014884,0.13531799729364005,,,0.5250338294993234,0.4749661705006766,597,498,0.5276,0,0.5276,0.0168,0.4355,0,0,0,0.020099999999999996,-0.4355,0.09209999999999996,-259.9935,0.07429999999999999,0.1165,0.0843,0.7249,-0.6506,-323.99879999999996,1_M_1,1_7,,,,,7,M_1
8,1,8,8,8,"दारोगामुड়ा पाड়ा, ग्राम-पूर्व सिमना, पोः-दारोगामुड়ा-799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 দারোগামুড়া পাড়া, গ্রাম-পূর্ব সিমনা, পোঃ-দারোগামুড়া-799212
 4 7 জাহান সং১াচা",8-Darogamura High School,पूर्व सिमना,पूर्व सिमना,606,0.27887788778877887,0.14356435643564355,0.1617161716171617,,,0.49834983498349833,0.5016501650165016,550,371,0.28,0,0.28,0.0055000000000000005,0.6673,0,0,0,0.0473,-0.6673,-0.3873,-367.015,0.0701,0.1321,0.2642,0.5337,-0.46359999999999996,-171.9956,1_M_1,1_8,,,,,8,M_1
9,1,9,9,9,"माटिय়ापाड়ा, उत्तर दशगरिय়ा, उत्तर दशगरिय়ा-799212","ভোট গ্রহন কেন্দ্রের ঠিকানা :
 মাটিয়াপাড়া, উত্তর দশগরিয়া, উত্তর দশগরিয়া-799212
 4 7 জাহান সং১াচা",9-Matiapara S.B. School,रामशंकर,रामशंकर,630,0.32273449920508746,0.13672496025437203,0.17647058823529413,,,0.5079365079365079,0.49206349206349204,560,512,0.4571,0,0.4571,0.0179,0.4929,0,0,0,0.0321,-0.4929,-0.0358,-276.024,0.0371,0.4316,0.12890000000000001,0.4023,-0.39449999999999996,-201.98399999999998,1_M_1,1_9,,,,,9,M_1
